Date,Account,Description,Category,Tags,Amount
6/18/2021,Chase Credit Card,Road Runner Sports,Clothing/Shoes/Makeup,,-149.95
6/18/2021,Chase Credit Card,Slice*oliviastrattoria,Restaurants/Liquor,,-42.11
6/18/2021,TD Invest,Qualified Dividend (bp),Investment Income,,81.73
6/18/2021,TD Invest,Adr Fee (bp),Service Charges/Fees,,-1.3
6/18/2021,L'oreal Usa Inc. 401k,Earnings - Dividends Vtiax,Securities Trades,,6.98
6/18/2021,L'oreal Usa Inc. 401k,Earnings - Dividends Vtiax,Securities Trades,,13.72
6/17/2021,Spend (PNC),Venmo,Wedding,,-250
6/16/2021,Chase Credit Card,Amazon Marketplace,Return Income,,53.3
6/16/2021,Discover Credit Card,Bp#xxx3400west Long Bran West Long Branj,Gasoline/Fuel,,-33.96
6/16/2021,L3harris 401k,Lifecycle Fund Xx60 - Exchange In,Securities Trades,,90.24
6/16/2021,L3harris 401k,Lifecycle Fund Xx60 - Contribution,Retirement Contributions,,150.39
6/16/2021,L3harris 401k,Large Cap Core Eq - Exchange In,Securities Trades,,56.4
6/16/2021,L3harris 401k,Large Cap Core Eq - Contribution,Retirement Contributions,,94
6/16/2021,L3harris 401k,L3harris Stock Fund - Exchange Out,Transfers,,-191.76
6/16/2021,L3harris 401k,L3harris Stock Fund - Contribution,Retirement Contributions,,281.99
6/16/2021,L3harris 401k,Index Equity Fund - Exchange In,Securities Trades,,45.12
6/16/2021,L3harris 401k,Index Equity Fund - Contribution,Retirement Contributions,,75.19
6/16/2021,TD Invest,Sold 40 Usau @ 12.85,Securities Trades,,514
6/16/2021,Spend (PNC),Discover Bank,Credit Card Payments,,-59
6/16/2021,Spend (BOA),Chase,Credit Card Payments,,-1433.03
6/15/2021,Chase Credit Card,Le Shoppe Company St,Personal Care/Hair,,-1.07
6/15/2021,Spend (PNC),Verizon,TV/Internet/Phone & Subscriptions,,-54.99
6/15/2021,Discover Credit Card,Internet Payment - Thank You,Credit Card Payments,,59
6/15/2021,Chase Credit Card,Payment Thank You-mobile,Credit Card Payments,,1433.03
6/15/2021,Chase Credit Card,E-zpass,Travel,,-125
6/15/2021,Chase Credit Card,Bella Capelli Salon By G,Personal Care/Hair,,-70
6/14/2021,Spend (PNC),Td Ameritrade,Investments,,-350
6/14/2021,Spend (PNC),Interest Payment,Interest,,0.06
6/14/2021,Chase Credit Card,Color&co,Personal Care/Hair,,-23.55
6/14/2021,Spend (BOA),Preferred Rewards-atm Operator Refund Of $3,Cash Back,,3
6/14/2021,Spend (BOA),Pxx0244 06/12 #xxxxx7837 Withdrwl Scotch Plain-4202 Scotch Plains Nj,ATM/Cash,,-83
6/14/2021,Spend (BOA),Preferred Rewards-atm Wthdrwl Fee Waiver Of $2.50,Service Charges/Fees,,0
6/12/2021,Chase Credit Card,Acme Fresh Market,Groceries & Essentials,,-26.38
6/11/2021,Chase Credit Card,Dunkin' Donuts,Restaurants/Liquor,,-15
6/11/2021,Chase Credit Card,Lulus,Clothing/Shoes/Makeup,,-74.8
6/11/2021,Chase Credit Card,Chewy,Pets/Pet Care,,-79.95
6/11/2021,Chase Credit Card,Kyoto Sushi,Restaurants/Liquor,,-79.54
6/11/2021,Short Term Savings (PNC),Twh Auto Transfer From Xxxxx3293,Transfers,,150
6/11/2021,Spend (PNC),Ach Credit Xxxxx6013 L3harris Technol Payroll,Paychecks/Salary,,2223.92
6/11/2021,Spend (PNC),Twh Auto Transfer To Xxxxx3314,Savings,,-150
6/11/2021,Health Savings Account - Ending in 5417,Payroll Deduction,Transfers,,0.01
6/11/2021,TD Invest,Recurring Electronic Funding,Transfers,,350
6/10/2021,Chase Credit Card,Cvs Pharmacy,Healthcare/Medical,,-17.7
6/10/2021,Chase Credit Card,Costco,Groceries & Essentials,,-362.4
6/10/2021,Spend (BOA),Bank Of America,Car Loan,,-309.66
6/10/2021,Spend (BOA),Bank Of America,Credit Card Payments,,-34.52
6/9/2021,Chase Credit Card,Precision Nails,Personal Care/Hair,,-40
6/9/2021,BOA Credit Card,Payment - Thank You,Credit Card Payments,,34.52
6/9/2021,Spend (PNC),Geico,Car Insurance,,-168.75
6/8/2021,Discover Credit Card,Sunoco,Gasoline/Fuel,,-25
6/6/2021,Chase Credit Card,"Amazon Marketplace - Shirt Strap, Phone Accessories, Sewing Gifts",General Merchandise,", , ",-122.25
6/6/2021,Chase Credit Card,Costco,TV/Internet/Phone & Subscriptions,,-127.95
6/6/2021,Chase Credit Card,Vineyards,Restaurants/Liquor,,-81.9
6/6/2021,Chase Credit Card,Ozya Bagel Llc,Restaurants/Liquor,,-10.5
6/5/2021,Chase Credit Card,Cory Mathews South Inc,Personal Care/Hair,,-30
6/5/2021,Chase Credit Card,Deal Lake Bar + Co.,Restaurants/Liquor,,-160.91
6/4/2021,Discover Credit Card,Shell,Gasoline/Fuel,,-34
6/4/2021,Chase Credit Card,Phr*allergypartnersofnjpc,Healthcare/Medical,,-45
6/4/2021,Chase Credit Card,Walgreens #4109,Healthcare/Medical,,-10.64
6/4/2021,Spend (PNC),Debit Card Purchase Xxxxx9443 Usfaspca Pet Insur Xxxxx6764 Oh,Pets/Pet Care,,-31.42
6/3/2021,Spend (PNC),Elizabethtown Gas,Gas/Electric Bill,,-11.86
6/3/2021,Spend (PNC),The Park Hotels,Rent,,-2304.57
6/2/2021,Chase Credit Card,Exxonmobil,Gasoline/Fuel,,-39
6/2/2021,L3harris 401k,Lifecycle Fund Xx60 - Exchange In,Securities Trades,,90.24
6/2/2021,L3harris 401k,Lifecycle Fund Xx60 - Contribution,Retirement Contributions,,120.31
6/2/2021,L3harris 401k,Large Cap Core Eq - Exchange In,Securities Trades,,56.4
6/2/2021,L3harris 401k,Large Cap Core Eq - Contribution,Retirement Contributions,,75.2
6/2/2021,L3harris 401k,L3harris Stock Fund - Exchange Out,Transfers,,-191.76
6/2/2021,L3harris 401k,L3harris Stock Fund - Contribution,Retirement Contributions,,270.71
6/2/2021,L3harris 401k,Index Equity Fund - Exchange In,Securities Trades,,45.12
6/2/2021,L3harris 401k,Index Equity Fund - Contribution,Retirement Contributions,,60.15
6/2/2021,Spend (PNC),Discover Bank,Credit Card Payments,,-35.45
6/1/2021,Chase Credit Card,Hulu,TV/Internet/Phone & Subscriptions,,-12.39
6/1/2021,College 529,You Bought Contribution Periodic Investment Nh Aggressive Growth Port,Securities Trades,,-7.5
6/1/2021,College 529,You Bought Contribution Periodic Investment Nh Moderate Growth Port,Securities Trades,,-7.5
6/1/2021,College 529,You Bought Contribution Periodic Investment Nh Money Market,Securities Trades,,-5
6/1/2021,College 529,You Bought Contribution Periodic Investment Nh Fidelity 500 Index,Securities Trades,,-5
6/1/2021,College 529,You Bought Contribution Periodic Investment Nh Total Market Index,Securities Trades,,-10
6/1/2021,College 529,You Bought Contribution Periodic Investment Nh Aggressive Growth Port,Securities Trades,,-5
6/1/2021,College 529,You Bought Contribution Periodic Investment Nh Moderate Growth Port,Securities Trades,,-5
6/1/2021,College 529,You Bought Contribution Periodic Investment Nh International Index,Securities Trades,,-5
6/1/2021,Spend (PNC),Ach Debit Xxxxx2808 Public Service Pseg,Gas/Electric Bill,,-111.43
6/1/2021,Spend (PNC),Td Ameritrade,Investments,,-350
6/1/2021,Spend (PNC),Fidelity Investments,Investments,,-50
6/1/2021,Spend (BOA),Online Scheduled Transfer To Sav 6703 Confirmation# Xxxxxx5405,Transfers,,-1500
6/1/2021,Spend (BOA),Chase,Credit Card Payments,,-1421.74
6/1/2021,Short Term Savings (BOA),Online Scheduled Transfer From Chk 9148 Confirmation# Xxxxxx5405,Transfers,,1500
6/1/2021,Short Term Savings (BOA),Goldman Sachs,Savings,,-1500
6/1/2021,Long Term Savings (Goldman),Internet Transfer From Bank Of America N.a. Dda Account ********6703,Transfers,,1500
6/1/2021,College 529,Money Line Received Eft Funds Received Erxxxx2748,Transfers,,50
5/31/2021,Discover Credit Card,Internet Payment - Thank You,Credit Card Payments,,35.45
5/31/2021,Long Term Savings (Goldman),Sav Increase Int Paid,Interest,,35.37
5/31/2021,Health Savings Account - Ending in 5417,Interest,Interest,,0.01
5/31/2021,Chase Credit Card,Payment Thank You-mobile,Credit Card Payments,,1421.74
5/31/2021,Short Term Savings (PNC),Interest Payment,Interest,,0.28
5/29/2021,Chase Credit Card,Ichiban Japanese Restaurant,Restaurants/Liquor,,-73.17
5/29/2021,Chase Credit Card,Chewy,Pets/Pet Care,,-21.26
5/29/2021,Chase Credit Card,Shoprite,Groceries & Essentials,,-279.65
5/29/2021,Chase Credit Card,Ocean Wine And Spirits In,Restaurants/Liquor,,-38.36
5/28/2021,Chase Credit Card,Amazon Marketplace - Cooking Ware,General Merchandise,,-42.53
5/28/2021,Chase Credit Card,"Amazon Marketplace - Pants, Pumice, Back Straightener, Litter Scooper, Cat Tunnel",General Merchandise,", , ",-105.34
5/28/2021,Chase Credit Card,Summit Medical Group,Healthcare/Medical,,-551.34
5/28/2021,Health Savings Account - Ending in 5417,Payroll Deduction,Transfers,,0.01
5/28/2021,TD Invest,Free Balance Interest Adjustment,Investment Income,,0.26
5/28/2021,Northrop Grumman 401k,Ng Stock - Dividend,Securities Trades,,7.51
